date,action,price,amount,shares,commission
2018-01-02,buy,12871.3896484375,33.333333333333336,0.002588428748241635,0.01665833749791771
2018-02-01,buy,13003.900390625,33.333333333333336,0.0025620524608028113,0.01665833749791771
2018-03-01,buy,12190.9404296875,33.333333333333336,0.0027329044209503574,0.01665833749791771
2018-04-03,buy,12002.4501953125,33.333333333333336,0.00277582280731705,0.01665833749791771
2018-05-02,buy,12802.25,33.333333333333336,0.002602407779557142,0.01665833749791771
2018-06-01,buy,12724.26953125,33.333333333333336,0.0026183565912378526,0.01665833749791771
2018-07-02,buy,12238.169921875,33.333333333333336,0.002722357608083529,0.016658337497917706
2018-08-01,buy,12737.0498046875,33.333333333333336,0.0026157293491601316,0.016658337497917706
2018-09-03,buy,12346.41015625,33.333333333333336,0.0026984908628659037,0.01665833749791771
2018-10-01,buy,12339.0302734375,33.333333333333336,0.0027001048103072536,0.01665833749791771
2018-11-01,buy,11468.5400390625,33.333333333333336,0.0029050493683029335,0.016658337497917706
2018-12-03,buy,11465.4599609375,33.333333333333336,0.002905829779995255,0.01665833749791771
2019-01-02,buy,10580.1904296875,33.333333333333336,0.0031489674233414976,0.01665833749791771
2019-02-01,buy,11180.66015625,33.333333333333336,0.002979848643124294,0.01665833749791771
2019-03-01,buy,11601.6796875,33.333333333333336,0.002871711329156227,0.016658337497917713
2019-04-01,buy,11681.990234375,33.333333333333336,0.0028519690846683797,0.01665833749791771
2019-05-02,buy,12345.419921875,33.333333333333336,0.002698707310619803,0.01665833749791771
2019-06-03,buy,11792.8095703125,33.333333333333336,0.002825168573883158,0.01665833749791771
2019-07-01,buy,12521.3798828125,33.333333333333336,0.002660783021331988,0.01665833749791771
2019-08-01,buy,12253.150390625,33.333333333333336,0.002719029305420614,0.01665833749791771
2019-09-02,buy,11953.7802734375,33.333333333333336,0.002787124594373582,0.016658337497917706
2019-10-01,buy,12263.830078125,33.333333333333336,0.002716661498373366,0.01665833749791771
2019-11-01,buy,12961.0498046875,33.333333333333336,0.002570522874141421,0.01665833749791771
2019-12-02,buy,12964.6796875,33.333333333333336,0.0025698031728433645,0.01665833749791771
2020-01-02,buy,13385.9296875,33.333333333333336,0.0024889324666740984,0.01665833749791771
2020-02-03,buy,13045.1904296875,33.333333333333336,0.0025539431697382685,0.01665833749791771
2020-03-02,buy,11857.8701171875,33.333333333333336,0.002809667728401263,0.01665833749791771
2020-04-01,buy,9544.75,33.333333333333336,0.003490575970647259,0.016658337497917713
2020-05-04,buy,10466.7998046875,33.333333333333336,0.0031830813254797065,0.01665833749791771
2020-06-02,buy,12021.2802734375,33.333333333333336,0.0027714747712398588,0.01665833749791771
2020-07-01,buy,12260.5703125,33.333333333333336,0.002717383787756441,0.01665833749791771
2020-08-03,buy,12646.98046875,33.333333333333336,0.00263435806500683,0.01665833749791771
2020-09-01,buy,12974.25,33.333333333333336,0.0025679075858593306,0.01665833749791771
2020-10-01,buy,12730.76953125,33.333333333333336,0.002617019726423729,0.01665833749791771
2020-11-02,buy,11788.2802734375,33.333333333333336,0.002826254061070112,0.01665833749791771
2020-12-01,buy,13382.2998046875,33.333333333333336,0.0024896075773287777,0.01665833749791771
2021-01-04,buy,13726.740234375,33.333333333333336,0.0024271367001178178,0.01665833749791771
2021-02-01,buy,13622.01953125,33.333333333333336,0.0024457955679335437,0.01665833749791771
2021-03-01,buy,14012.8203125,33.333333333333336,0.0023775852578453178,0.01665833749791771
2021-04-01,buy,15107.169921875,33.333333333333336,0.0022053551504437156,0.016658337497917706
2021-05-03,buy,15236.4697265625,33.333333333333336,0.0021866400546678337,0.01665833749791771
2021-06-01,buy,15567.3603515625,33.333333333333336,0.0021401621240489505,0.01665833749791771
2021-07-01,buy,15603.8095703125,33.333333333333336,0.002135162880943066,0.01665833749791771
2021-08-02,buy,15568.73046875,33.333333333333336,0.0021399737803098075,0.01665833749791771
2021-09-01,buy,15824.2900390625,33.333333333333336,0.0021054135707568996,0.01665833749791771
2021-10-01,buy,15156.4404296875,33.333333333333336,0.0021981859890120884,0.01665833749791771
2021-11-01,buy,15806.2900390625,33.333333333333336,0.0021078111886786237,0.01665833749791771
2021-12-01,buy,15472.669921875,33.333333333333336,0.0021532595966991365,0.01665833749791771
2022-01-03,buy,16020.73046875,33.333333333333336,0.0020795977474824165,0.01665833749791771
2022-02-01,buy,15619.3896484375,33.333333333333336,0.002133033091928037,0.01665833749791771
